Log for Naval Warfare 2D, intended for debugging purposes only! 

(ENTRY #1) 2022-02-20 17:47:47.999806 >> Initialized Log handler...
(ENTRY #2) 2022-02-20 17:47:48.221086 >> Initialized Warship handler...
(ENTRY #3) 2022-02-20 17:47:48.233586 >> Initialized GUI handler...
(ENTRY #4) 2022-02-20 17:47:48.234086 >> Starting Naval Warfare 2D...
(ENTRY #5) 2022-02-20 17:47:48.441419 >> Created Sprite for Player!
(ENTRY #6) 2022-02-20 17:47:48.441419 >> Finished initalizingw!
(ENTRY #7) 2022-02-20 17:47:48.790952 >> Game resumed!
(ENTRY #8) 2022-02-20 17:47:48.802452 >> Cloud created! ID: #1
(ENTRY #9) 2022-02-20 17:47:49.807685 >> Cloud created! ID: #2
(ENTRY #10) 2022-02-20 17:47:50.949680 >> Cloud created! ID: #3
(ENTRY #11) 2022-02-20 17:47:51.998719 >> Cloud created! ID: #4
(ENTRY #12) 2022-02-20 17:47:53.001454 >> Cloud created! ID: #5
(ENTRY #13) 2022-02-20 17:47:54.019934 >> Cloud created! ID: #6
(ENTRY #14) 2022-02-20 17:47:54.970534 >> Cloud removed! ID: #6
(ENTRY #15) 2022-02-20 17:47:55.128420 >> Cloud created! ID: #7
(ENTRY #16) 2022-02-20 17:47:56.238826 >> Cloud created! ID: #8
(ENTRY #17) 2022-02-20 17:47:57.200058 >> Cloud removed! ID: #8
(ENTRY #18) 2022-02-20 17:47:57.263981 >> Cloud created! ID: #9
(ENTRY #19) 2022-02-20 17:47:58.253787 >> Cloud removed! ID: #9
(ENTRY #20) 2022-02-20 17:47:58.265786 >> Cloud created! ID: #10
(ENTRY #21) 2022-02-20 17:47:59.332865 >> Cloud created! ID: #11
(ENTRY #22) 2022-02-20 17:48:00.542790 >> Cloud created! ID: #12
(ENTRY #23) 2022-02-20 17:48:01.498381 >> Cloud removed! ID: #12
(ENTRY #24) 2022-02-20 17:48:01.537818 >> Cloud removed! ID: #12
(ENTRY #25) 2022-02-20 17:48:01.589099 >> Cloud created! ID: #13
(ENTRY #26) 2022-02-20 17:48:02.392043 >> Cloud removed! ID: #13
(ENTRY #27) 2022-02-20 17:48:02.595392 >> Cloud removed! ID: #13
(ENTRY #28) 2022-02-20 17:48:02.632205 >> Cloud created! ID: #14
(ENTRY #29) 2022-02-20 17:48:03.667288 >> Cloud created! ID: #15
(ENTRY #30) 2022-02-20 17:48:04.677694 >> Cloud created! ID: #16
(ENTRY #31) 2022-02-20 17:48:04.789370 >> Cloud removed! ID: #16
(ENTRY #32) 2022-02-20 17:48:05.630821 >> Cloud removed! ID: #16
(ENTRY #33) 2022-02-20 17:48:05.681850 >> Cloud created! ID: #17
(ENTRY #34) 2022-02-20 17:48:05.695864 >> Cloud removed! ID: #17
(ENTRY #35) 2022-02-20 17:48:06.676545 >> Cloud removed! ID: #17
(ENTRY #36) 2022-02-20 17:48:06.715056 >> Cloud created! ID: #18
(ENTRY #37) 2022-02-20 17:48:06.857216 >> Cloud removed! ID: #18
(ENTRY #38) 2022-02-20 17:48:07.750656 >> Cloud created! ID: #19
(ENTRY #39) 2022-02-20 17:48:08.820365 >> Cloud created! ID: #20
(ENTRY #40) 2022-02-20 17:48:09.875641 >> Cloud created! ID: #21
(ENTRY #41) 2022-02-20 17:48:10.910968 >> Cloud created! ID: #22
(ENTRY #42) 2022-02-20 17:48:10.923969 >> Cloud removed! ID: #22
(ENTRY #43) 2022-02-20 17:48:10.924471 >> Cloud removed! ID: #22
(ENTRY #44) 2022-02-20 17:48:11.943154 >> Cloud removed! ID: #22
(ENTRY #45) 2022-02-20 17:48:12.015809 >> Cloud created! ID: #23
(ENTRY #46) 2022-02-20 17:48:13.081927 >> Cloud created! ID: #24
(ENTRY #47) 2022-02-20 17:48:13.924937 >> Cloud removed! ID: #24
(ENTRY #48) 2022-02-20 17:48:14.014826 >> Cloud removed! ID: #24
(ENTRY #49) 2022-02-20 17:48:14.103225 >> Cloud created! ID: #25
(ENTRY #50) 2022-02-20 17:48:14.116225 >> Cloud removed! ID: #25
(ENTRY #51) 2022-02-20 17:48:15.024710 >> Cloud removed! ID: #25
(ENTRY #52) 2022-02-20 17:48:15.146371 >> Cloud created! ID: #26
(ENTRY #53) 2022-02-20 17:48:15.872207 >> Naval Warfare 2D Closed...
